time (ms), statusbyte, databyte1, datbaty2
 0, 144, 71, 100
 0, 144, 57, 100
 0, 144, 68, 100
 0, 144, 65, 100
 0, 144, 64, 100
 0, 255, 0, 0
 0, 255, 88, 0
 375, 144, 64, 0
 375, 144, 71, 0
 375, 144, 65, 0
 375, 144, 57, 0
 1500, 144, 78, 51
 1500, 144, 81, 51
 2250, 144, 78, 0
 2250, 144, 81, 0
 3000, 144, 72, 100
 3750, 144, 82, 100
 3750, 144, 79, 100
 3750, 144, 72, 0
 4475, 144, 37, 100
 4500, 144, 82, 0
 4500, 144, 39, 100
 4500, 144, 41, 100
 4500, 144, 68, 0
 4500, 144, 79, 0
 6000, 144, 87, 100
 6000, 144, 76, 100
 6000, 144, 75, 100
 8400, 144, 41, 0
 8400, 144, 39, 0
 9000, 144, 76, 0
 9000, 144, 75, 0
 9000, 144, 87, 0
 9025, 144, 33, 100
 9025, 144, 39, 100
 9550, 144, 65, 100
 9775, 144, 33, 0
 9775, 144, 39, 0
 11000, 144, 77, 34
 11000, 144, 81, 34
 11000, 144, 82, 34
 11000, 144, 72, 34
 11000, 144, 71, 34
 12550, 144, 65, 0
 14000, 144, 72, 0
 14000, 144, 77, 0
 14000, 144, 82, 0
 14000, 144, 71, 0
 14000, 144, 81, 0
 15250, 144, 38, 100
 16000, 144, 38, 0
 17375, 144, 80, 100
 21025, 144, 85, 100
 21025, 144, 76, 100
 22525, 144, 76, 0
 22525, 144, 85, 0
 23250, 144, 45, 100
 23250, 144, 33, 34
 23250, 144, 39, 100
 23250, 144, 36, 100
 23250, 144, 41, 34
 23250, 144, 34, 34
 23250, 144, 39, 34
 24000, 144, 45, 0
 24000, 144, 41, 0
 24000, 144, 33, 0
 24000, 144, 34, 0
 24000, 144, 36, 0
 24000, 144, 39, 0
 24000, 144, 39, 0
 25975, 144, 66, 100
 25975, 144, 73, 100
 27475, 144, 66, 0
 27475, 144, 73, 0
 32850, 144, 85, 100
 33550, 144, 79, 34
 33550, 144, 78, 34
 33575, 144, 75, 34
 33650, 144, 69, 34
 34300, 144, 78, 0
 34300, 144, 79, 0
 34325, 144, 75, 0
 34350, 144, 85, 0
 34400, 144, 69, 0
 36125, 144, 80, 0
 36700, 144, 70, 51
 36700, 144, 73, 51
 36700, 144, 65, 51
 39700, 144, 70, 0
 39700, 144, 65, 0
 39700, 144, 73, 0
 41325, 144, 63, 100
 41325, 144, 57, 100
 41325, 144, 61, 100
 41325, 144, 66, 100
 41325, 144, 69, 100
 44325, 144, 66, 0
 44325, 144, 61, 0
 44325, 144, 63, 0
 44325, 144, 69, 0
 44325, 144, 57, 0
 44925, 144, 43, 34
 44925, 144, 39, 34
 44925, 144, 47, 34
 44925, 144, 36, 34
 45000, 144, 74, 51
 45000, 144, 71, 51
 45000, 144, 81, 51
 45200, 144, 38, 100
 45225, 144, 37, 0
 45300, 144, 36, 0
 45300, 144, 39, 0
 45300, 144, 47, 0
 45750, 144, 71, 0
 45750, 144, 74, 0
 47725, 144, 64, 100
 47975, 144, 74, 100
 47975, 144, 78, 100
 48000, 144, 81, 0
 48475, 144, 64, 0
 51550, 144, 29, 34
 51550, 144, 32, 34
 51550, 144, 37, 34
 51550, 144, 35, 34
 51575, 144, 43, 0
 51725, 144, 78, 0
 51925, 144, 37, 0
 51925, 144, 29, 0
 51925, 144, 35, 0
 51925, 144, 32, 0
 52650, 144, 56, 34
 52650, 144, 68, 34
 52650, 144, 65, 34
 52775, 144, 70, 34
 52850, 144, 56, 0
 52850, 144, 65, 0
 52850, 144, 68, 0
 52975, 144, 70, 0
 53125, 144, 70, 34
 53125, 144, 77, 34
 53325, 144, 77, 0
 53325, 144, 70, 0
 55250, 144, 39, 34
 55250, 144, 38, 34
 55250, 144, 45, 34
 55250, 144, 41, 34
 55250, 144, 44, 34
 55625, 144, 41, 0
 55625, 144, 44, 0
 55625, 144, 38, 0
 55625, 144, 39, 0
 55625, 144, 45, 0
 56975, 144, 74, 0
 57725, 144, 63, 100
 57725, 144, 74, 29
 58025, 144, 39, 100
 58100, 144, 74, 0
 58400, 144, 39, 0
 58925, 144, 65, 29
 59300, 144, 65, 0
 61700, 144, 67, 29
 61700, 144, 64, 29
 62075, 144, 67, 0
 62075, 144, 64, 0
 63225, 144, 38, 0
 64725, 144, 63, 0
 72000, 144, 37, 34
 72000, 144, 36, 100
 72375, 144, 36, 0
 74825, 144, 80, 100
 75750, 144, 76, 100
 75750, 144, 82, 100
 75750, 144, 71, 100
 76000, 144, 83, 100
 76000, 144, 79, 100
 76125, 144, 71, 0
 76125, 144, 76, 0
 76125, 144, 82, 0
 76375, 144, 83, 0
 76375, 144, 79, 0
 77825, 144, 80, 0
 79175, 144, 63, 100
 79175, 144, 65, 100
 79175, 144, 71, 100
 79350, 144, 64, 100
 79550, 144, 71, 0
 79725, 144, 64, 0
 80025, 144, 40, 34
 80025, 144, 42, 34
 80025, 144, 35, 34
 80025, 144, 41, 34
 80400, 144, 35, 0
 80400, 144, 40, 0
 80400, 144, 42, 0
 80400, 144, 41, 0
 83675, 144, 63, 0
 84575, 144, 38, 100
 86475, 144, 38, 0
 89975, 144, 65, 0
